Underlying,Date,T,r,E,Pobs,volatility,Delta,Vega,Gamma
0.31364,2023-09-28,0.1984126984126984,0.0005,0.34,0.028399999999999998,0.17757692247186713,-0.836317061526537,0.03450000113442218,9.954059452698571
0.31575,2023-09-29,0.19444444444444445,0.0005,0.34,0.02639,0.17202074428183223,-0.8254358785361772,0.035833967600090846,10.745628366515454
0.32180000000000003,2023-10-02,0.18253968253968253,0.0005,0.34,0.0246,0.24191547049994688,-0.6842868385966739,0.04888800617954086,10.690778037357529
0.31339,2023-10-03,0.17857142857142858,0.0005,0.34,0.02983,0.2217714532082989,-0.7944082024368998,0.037691652960609286,9.690747987516813
0.318955,2023-10-04,0.1746031746031746,0.0005,0.34,0.025920000000000002,0.23247483437338007,-0.728503416368248,0.0441892516477257,10.701132337001537
0.31936000000000003,2023-10-05,0.17063492063492064,0.0005,0.34,0.0246,0.21143141133357138,-0.749339971304501,0.041980094212828736,11.4089308040224
0.32726,2023-10-06,0.16666666666666666,0.0005,0.34,0.01751,0.1819230971995603,-0.6829479402595013,0.04759218488362242,14.655923861968285
0.32982,2023-10-09,0.15476190476190477,0.0005,0.34,0.01685,0.210087725958848,-0.6276164542728694,0.04909142429083186,13.879918350248905
0.32838999999999996,2023-10-10,0.15079365079365079,0.0005,0.34,0.01745,0.20622946149387336,-0.6527889149346452,0.047095245849251344,14.043115164277449
0.33242,2023-10-11,0.14682539682539683,0.0005,0.34,0.01449,0.19995760990469405,-0.6006373153269525,0.04919014794832043,15.162287183104016
0.33116,2023-10-12,0.14285714285714285,0.0005,0.34,0.01645,0.22753712730127182,-0.6035284916358074,0.04824331668391539,13.533408124184465
0.32773,2023-10-13,0.1388888888888889,0.0005,0.34,0.0183,0.22413533595777244,-0.6544746608296184,0.045025810946023155,13.46639389516493
0.33264,2023-10-16,0.12698412698412698,0.0005,0.34,0.014070000000000001,0.20867578660587374,-0.6011285118497122,0.04576129957640105,15.607304685051977
0.33206,2023-10-17,0.12301587301587301,0.0005,0.34,0.01534,0.23247824300902542,-0.5980400757339266,0.04505281137831787,14.287140053241425
0.33011,2023-10-18,0.11904761904761904,0.0005,0.34,0.0166,0.2378580331014159,-0.6247327229496629,0.043199561488514546,13.999851853424538
0.33132,2023-10-19,0.11507936507936507,0.0005,0.34,0.015210000000000001,0.22694834899825972,-0.6166388647963947,0.04290869339659849,14.966680922314483
0.32667,2023-10-20,0.1111111111111111,0.0005,0.34,0.01855,0.2390278600279792,-0.6777575047138471,0.03905369660578706,13.779632307324023
0.32932,2023-10-23,0.0992063492063492,0.0005,0.34,0.01625,0.23859159481535724,-0.6504229259955967,0.03840309727048618,14.960132182327115
0.33053,2023-10-24,0.09523809523809523,0.0005,0.34,0.01551,0.24443405068177043,-0.6316125976490303,0.03845852753611863,15.121625541545754
0.34067000000000003,2023-10-25,0.09126984126984126,0.0005,0.34,0.00845,0.2142991638575881,-0.4746907597017299,0.040976274239524754,18.051650433662527
0.32788999999999996,2023-10-26,0.0873015873015873,0.0005,0.34,0.01565,0.20909604055851122,-0.710700502138246,0.03312518299986816,16.878505655782206
0.32981,2023-10-27,0.08333333333333333,0.0005,0.34,0.01445,0.21785114825320248,-0.6742754976639043,0.03429795687198526,17.368487624236543
0.33731,2023-10-30,0.07142857142857142,0.0005,0.34,0.00875,0.20318107140650285,-0.547151853181409,0.03571310735813001,21.627882211178378
0.33811,2023-10-31,0.06746031746031746,0.0005,0.34,0.00825,0.20703785752575593,-0.5303491099718458,0.034932780697460086,21.878572408068248
0.34607,2023-11-01,0.06349206349206349,0.0005,0.34,0.004200000000000001,0.1976117020930922,-0.35163457038355705,0.032353935889481496,21.531144416330356
0.34832,2023-11-02,0.05952380952380952,0.0005,0.34,0.003,0.1883870685855059,-0.29128634894910355,0.029149759668143864,21.425765557073383
0.32188,2023-08-21,0.3492063492063492,0.0005,0.345,0.028300000000000002,0.17602611469571608,-0.730114084499417,0.0628790305371541,9.873215521691176
0.32245999999999997,2023-08-22,0.34523809523809523,0.0005,0.345,0.0277,0.1741922969773676,-0.728166651822199,0.06285855438122756,10.052290524245786
0.327,2023-08-23,0.3412698412698413,0.0005,0.345,0.0252,0.18530013739975407,-0.6697805660938365,0.06919892165455668,10.233640810612116
0.31997000000000003,2023-08-24,0.3373015873015873,0.0005,0.345,0.028,0.14846209966078358,-0.7962907577129422,0.0526012122528819,10.259902818015865
0.32298000000000004,2023-08-25,0.3333333333333333,0.0005,0.345,0.02844,0.1947601079434796,-0.7015421575688459,0.0646837021165994,9.551352122446485
0.32841000000000004,2023-08-29,0.31746031746031744,0.0005,0.345,0.024,0.18816836278203514,-0.6592149684174307,0.06785962059172981,10.532770687438395
0.32879,2023-08-30,0.3134920634920635,0.0005,0.345,0.0229,0.1767211675674886,-0.6683336494003477,0.06680245728521657,11.154243343423097
0.32776,2023-08-31,0.30952380952380953,0.0005,0.345,0.022699999999999998,0.16399637801142414,-0.6965609533409101,0.06372710024654436,11.686485838956157
0.32866,2023-09-01,0.3055555555555556,0.0005,0.345,0.023600000000000003,0.18824597085892292,-0.6601208279567494,0.06655804480288498,10.71250357803528
0.33355,2023-09-05,0.2896825396825397,0.0005,0.345,0.01964,0.18077683503104874,-0.6166719470595773,0.06853459442852394,11.763128982647352
0.33288,2023-09-06,0.2857142857142857,0.0005,0.345,0.02155,0.20400226826913212,-0.6072394306524034,0.06840420857624091,10.591085280431988
0.32991000000000004,2023-09-07,0.28174603174603174,0.0005,0.345,0.0217,0.17920894903999873,-0.6631697939866065,0.06393274431383454,11.633620336921375
0.33426999999999996,2023-09-08,0.2777777777777778,0.0005,0.345,0.01905,0.18238667337828474,-0.6099460012670193,0.06759765767521775,11.941152462560998
